id,name,signup_date,country,age,gender,is_premium,num_purchases,purchase_amount,last_login,feedback,days_since_last_login,churned
1,User_1,2020-04-12,PT,19.0,F,False,4,8.38,2024-02-13,Ótimo serviço,323,0
2,User_2,2021-03-11,BR,70.0,F,True,1,32.81,2024-08-22,Excelente!,132,0
3,User_3,2022-05-10,FR,61.0,F,True,3,38.03,2024-03-15,Poderia melhorar,292,0
4,User_4,2020-09-27,US,43.0,M,False,1,2.66,2024-02-09,Excelente!,327,1
5,User_5,2020-04-16,BR,49.0,F,False,1,20.52,2024-08-28,Não gostei,126,0
6,User_6,2020-03-12,US,23.0,M,False,3,7.22,2024-09-18,Excelente!,105,0
7,User_7,2021-12-01,US,49.0,M,False,0,3.27,2024-10-02,Excelente!,91,0
8,User_8,2020-01-21,FR,72.0,F,True,1,230.06,2024-03-21,Ótimo serviço,286,0
9,User_9,2021-09-06,DE,21.0,F,True,1,19.46,2024-11-12,Poderia melhorar,50,0
10,User_10,2020-05-01,US,72.0,F,False,0,83.0,2024-12-04,Ótimo serviço,28,0
11,User_11,2021-04-11,US,28.0,F,False,1,14.69,2024-03-12,,295,1
12,User_12,2020-08-02,US,73.0,F,False,2,57.21,2024-03-11,Poderia melhorar,296,0
13,User_13,2020-11-26,FR,,M,False,0,71.4,2024-06-02,Poderia melhorar,213,1
14,User_14,2021-04-03,US,55.0,M,False,3,45.27,2024-04-10,Ótimo serviço,266,0
15,User_15,2020-03-28,BR,41.0,M,False,4,31.89,2024-04-20,Poderia melhorar,256,0
16,User_16,2021-01-07,BR,22.0,M,False,4,26.54,2024-03-06,Excelente!,301,0
17,User_17,2020-04-09,BR,69.0,O,False,1,21.45,2024-09-23,Poderia melhorar,100,0
18,User_18,2022-05-21,BR,51.0,M,False,1,132.63,2024-01-22,Excelente!,345,1
19,User_19,2021-10-25,PT,23.0,F,False,0,88.78,2024-09-14,Excelente!,109,0
20,User_20,2020-05-10,BR,39.0,F,True,0,167.66,2024-07-04,Não gostei,181,0
21,User_21,2021-10-23,BR,28.0,F,False,4,6.64,2024-02-24,Poderia melhorar,312,0
22,User_22,2020-11-04,BR,65.0,F,False,2,65.63,2025-01-01,Excelente!,0,0
23,User_23,2022-02-08,BR,33.0,F,True,1,139.31,2024-02-18,Não gostei,318,0
24,User_24,2020-12-09,US,50.0,F,True,1,10.0,2024-11-08,Não gostei,54,0
25,User_25,2021-05-06,US,26.0,M,True,3,3.44,2024-08-06,,148,0
26,User_26,2021-02-17,US,23.0,F,True,4,67.57,2024-02-28,Ótimo serviço,308,0
27,User_27,2022-03-16,FR,33.0,M,False,4,42.72,2024-08-18,Ótimo serviço,136,0
28,User_28,2021-01-20,US,46.0,M,False,3,92.2,2024-06-14,,201,0
29,User_29,2020-07-10,,20.0,F,False,2,7.53,2024-02-24,Poderia melhorar,312,0
30,User_30,2022-08-13,DE,37.0,M,True,2,79.3,2024-09-07,Excelente!,116,0
31,User_31,2020-10-03,PT,53.0,F,False,0,11.26,2024-08-01,Excelente!,153,0
32,User_32,2020-06-09,BR,36.0,F,False,4,8.94,2024-03-17,,290,0
33,User_33,2021-04-04,BR,43.0,F,True,2,8.97,2024-10-31,Excelente!,62,0
34,User_34,2020-11-09,US,20.0,M,False,5,84.26,2024-05-03,Poderia melhorar,243,0
35,User_35,2020-01-22,US,36.0,M,False,2,54.71,2024-12-08,Excelente!,24,0
36,User_36,2020-09-09,US,37.0,F,False,0,37.02,2024-10-04,Não gostei,89,0
37,User_37,2022-01-17,BR,49.0,M,False,3,22.22,2024-10-19,Poderia melhorar,74,0
38,User_38,2022-05-06,US,24.0,O,True,5,104.86,2024-03-14,Ótimo serviço,293,0
39,User_39,2021-07-14,BR,69.0,O,False,1,24.92,2024-06-06,Excelente!,209,1
40,User_40,2021-04-19,FR,58.0,F,False,0,84.8,2024-01-21,Ótimo serviço,346,1
41,User_41,2020-02-28,DE,50.0,M,False,8,28.91,2024-12-16,,16,0
42,User_42,2021-05-25,US,57.0,M,False,1,23.66,2024-08-27,Excelente!,127,0
43,User_43,2021-11-12,BR,56.0,F,False,2,31.06,2024-01-04,Ótimo serviço,363,0
44,User_44,2021-04-20,BR,35.0,M,True,3,17.93,2024-04-26,Excelente!,250,0
45,User_45,2021-11-30,BR,57.0,M,True,4,68.84,2024-07-07,Ótimo serviço,178,0
46,User_46,2022-09-02,US,18.0,F,False,3,34.93,2024-07-04,Excelente!,181,0
47,User_47,2022-02-21,BR,28.0,F,True,0,13.21,2024-08-03,Ótimo serviço,151,0
48,User_48,2020-07-08,PT,45.0,F,False,0,114.92,2024-12-08,Não gostei,24,0
49,User_49,2022-08-15,BR,74.0,F,False,3,24.22,2024-07-06,Excelente!,179,0
50,User_50,2021-11-17,DE,42.0,M,False,1,39.21,2024-06-18,,197,1
51,User_51,2022-08-15,PT,67.0,F,False,2,118.47,2024-01-24,Poderia melhorar,343,0
52,User_52,2021-07-16,US,40.0,O,False,3,48.94,2024-07-25,Não gostei,160,0
53,User_53,2022-05-25,US,48.0,M,False,5,6.22,2024-07-09,Poderia melhorar,176,0
54,User_54,2021-07-20,BR,47.0,F,False,2,140.53,2024-03-23,,284,0
55,User_55,2020-08-31,US,59.0,F,False,3,49.4,2024-10-31,Poderia melhorar,62,0
56,User_56,2022-04-11,US,52.0,F,False,2,20.39,2024-08-05,Poderia melhorar,149,0
57,User_57,2021-05-19,BR,24.0,F,False,0,7.5,2024-08-01,Excelente!,153,0
58,User_58,2020-05-10,FR,33.0,F,False,0,79.0,2024-07-30,Poderia melhorar,155,0
59,User_59,2021-04-29,US,43.0,M,True,1,48.39,2024-11-14,Ótimo serviço,48,0
60,User_60,2022-03-29,US,,M,True,1,38.12,2024-01-31,Ótimo serviço,336,0
61,User_61,2021-10-08,DE,74.0,F,True,3,112.17,2024-10-10,Poderia melhorar,83,0
62,User_62,2020-01-21,US,69.0,F,True,1,77.7,2024-01-07,Ótimo serviço,360,0
63,User_63,2022-04-20,BR,66.0,F,True,0,8.22,2024-07-09,,176,0
64,User_64,2020-06-15,BR,19.0,F,False,1,18.68,2024-08-07,Não gostei,147,0
65,User_65,2020-09-30,PT,18.0,F,True,1,14.28,2024-09-06,Poderia melhorar,117,0
66,User_66,2021-01-22,BR,65.0,F,False,0,68.12,2024-01-26,Poderia melhorar,341,1
67,User_67,2021-08-23,PT,29.0,F,False,1,1.71,2024-10-31,Excelente!,62,0
68,User_68,2020-11-11,DE,22.0,F,True,2,42.19,2024-06-27,Poderia melhorar,188,0
69,User_69,2020-01-14,BR,54.0,F,False,0,71.87,2024-01-08,Excelente!,359,1
